,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,address,postcode,state,country,property_valuation,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
12,1243,Robbert,Blakey,Male,73.0,Research Assistant II,Retail,Mass Customer,N,No,8.0,70.0,2 Eliot Lane,2155.0,NSW,Australia,11.0,13,35,2017-02-26,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,903.11
13,2717,Frederic,McGown,Male,31.0,Registered Nurse,Health,Mass Customer,N,No,13.0,42.0,6994 Hanson Place,2580.0,NSW,Australia,5.0,14,16,2017-09-10,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09,182.81000000000017
14,247,Kristal,Joysey,Female,62.0,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40.0,2 2nd Plaza,2283.0,NSW,Australia,4.0,15,12,2017-06-11,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82
15,2961,Merv,Barradell,Male,56.0,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48.0,8 Roxbury Way,3031.0,VIC,Australia,8.0,16,3,2017-10-10,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-09,1702.5499999999997
17,1842,Ephrayim,Beville,Male,89.0,Accountant IV,Financial Services,Mass Customer,N,No,8.0,46.0,9649 Cascade Way,2250.0,NSW,Australia,8.0,18,33,2017-06-02,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
18,2268,Wilhelmina,Gothup,Female,66.0,Pharmacist,Health,Mass Customer,N,No,19.0,57.0,9574 David Lane,3218.0,VIC,Australia,8.0,19,54,2017-04-06,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.3999999999999
19,3002,Tracey,Verdun,Male,62.0,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,66.0,673 Comanche Parkway,2470.0,NSW,Australia,2.0,20,25,2017-01-28,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22,709.34
20,1582,Francesco,Wasson,Male,32.0,Office Assistant III,Property,Mass Customer,N,No,4.0,45.0,85301 John Wall Road,2101.0,NSW,Australia,11.0,21,27,2017-10-09,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,110.80999999999995
21,595,Nikola,Jeanon,Male,72.0,VP Marketing,Financial Services,Mass Customer,N,No,22.0,50.0,0278 Elka Place,4305.0,QLD,Australia,4.0,22,37,2017-06-29,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,1544.6100000000001
22,2001,Mada,Martinho,Female,21.0,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,45.0,3 Bonner Point,2800.0,NSW,Australia,4.0,23,37,2017-04-08,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-21,1544.6100000000001
23,515,Winna,Verny,Female,55.0,Help Desk Operator,IT,High Net Worth,N,No,8.0,33.0,12845 Paget Lane,2026.0,NSW,Australia,12.0,24,82,2017-10-18,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34
26,2666,Lyle,Eager,Male,2.0,Occupational Therapist,Health,Mass Customer,N,No,9.0,52.0,0 Knutson Crossing,2151.0,NSW,Australia,8.0,27,64,2017-04-11,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18,872.8900000000001
27,76,Rea,Hasser,Female,20.0,Statistician II,Retail,High Net Worth,N,Yes,18.0,45.0,439 Ridgeway Court,4213.0,QLD,Australia,9.0,28,19,2017-12-23,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-09,114.93
28,3368,Tanya,Boddis,Female,7.0,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,56.0,2 Roxbury Place,2564.0,NSW,Australia,8.0,29,72,2017-10-13,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,90.09999999999997
29,1173,Gertie,Chaim,Female,58.0,Statistician IV,Retail,High Net Worth,N,No,16.0,45.0,71 Cherokee Hill,2127.0,NSW,Australia,7.0,30,91,2017-03-15,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,128.45999999999992
31,3214,Cindelyn,Balas,Female,2.0,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0,30.0,050 Monterey Street,4869.0,QLD,Australia,3.0,32,1,2017-02-18,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,448.67999999999995
33,2003,Lilli,Hargey,Female,80.0,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,61.0,064 Fallview Terrace,4500.0,QLD,Australia,7.0,34,99,2017-02-28,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
34,2171,Laryssa,Maes,Female,21.0,Pharmacist,Health,High Net Worth,N,No,10.0,53.0,6 Tennyson Place,2138.0,NSW,Australia,9.0,35,0,2017-08-20,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,167.20999999999998
35,3356,Dill,Bampford,Male,47.0,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0,64.0,73 Burrows Court,3121.0,VIC,Australia,8.0,36,92,2017-07-07,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10,155.6500000000001
36,1040,Jacenta,Wedlock,Female,78.0,Food Chemist,Health,High Net Worth,N,No,9.0,48.0,27135 Melvin Plaza,4556.0,QLD,Australia,8.0,37,14,2017-01-09,0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,737.1700000000001
37,2916,Lauren,Adolfson,Male,23.0,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0,54.0,2 Blue Bill Park Lane,4220.0,QLD,Australia,8.0,38,2,2017-12-06,0,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07,17.869999999999997
38,427,Giusto,Torbett,Male,77.0,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0,26.0,1 Carey Pass,2065.0,NSW,Australia,11.0,39,12,2017-09-12,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,1069.5500000000002
39,2448,Lorri,Iston,Female,5.0,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,30.0,11 Dunning Pass,2219.0,NSW,Australia,10.0,40,0,2017-11-28,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,167.20999999999998
40,2570,Hirsch,Peele,Male,13.0,Professor,Financial Services,Mass Customer,N,Yes,18.0,45.0,457 Merry Pass,4812.0,QLD,Australia,3.0,41,44,2017-05-08,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16,1660.88
42,488,Domini,Ghelerdini,Female,24.0,Help Desk Operator,Property,Mass Customer,N,Yes,10.0,43.0,4671 Buell Trail,3564.0,Victoria,Australia,2.0,43,76,2017-03-17,0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,128.45999999999992
43,165,Aldon,Roelofs,Male,61.0,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,39.0,22371 Miller Trail,2032.0,NSW,Australia,10.0,44,46,2017-12-22,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16,1215.34
47,1305,Averil,Gentiry,Male,97.0,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53.0,3 School Place,4124.0,QLD,Australia,4.0,48,81,2017-06-10,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10,502.47
48,1251,Codie,Arnecke,Male,63.0,Desktop Support Technician,Property,Mass Customer,N,No,2.0,25.0,6 Lerdahl Plaza,4519.0,QLD,Australia,6.0,49,86,2017-06-17,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,110.56
49,3103,Shaylah,Hatchell,Female,5.0,Safety Technician II,Retail,Mass Customer,N,No,20.0,69.0,32304 Larry Road,4014.0,QLD,Australia,7.0,50,32,2017-05-10,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22,431.33000000000004
50,3108,Trip,Ahmed,Male,94.0,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0,55.0,1742 Scott Center,4670.0,QLD,Australia,2.0,51,77,2017-03-24,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,445.2099999999999
53,2549,Mike,Geggus,Male,12.0,Pharmacist,Health,Mass Customer,N,Yes,4.0,25.0,01 Burning Wood Terrace,2323.0,NSW,Australia,9.0,54,27,2017-02-09,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12,110.80999999999995
54,3140,Britt,Muddimer,Female,2.0,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0,38.0,3 Canary Center,2040.0,NSW,Australia,10.0,55,0,2017-09-18,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,72.59999999999997
55,3406,Lucy,Lackmann,Female,35.0,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0,44.0,5 Northland Plaza,2096.0,NSW,Australia,9.0,56,47,2017-11-14,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09,189.27999999999997
56,2294,Skipton,Cordie,Male,25.0,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,36.0,7 Melrose Circle,4017.0,QLD,Australia,5.0,57,94,2017-08-30,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09,641.64
57,1031,Roi,Ogden,Male,75.0,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,39.0,65634 Del Mar Crossing,4053.0,QLD,Australia,7.0,58,91,2017-11-14,0,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,25.08999999999999
58,993,Reine,Semken,Female,71.0,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,46.0,84019 Porter Trail,2871.0,NSW,Australia,3.0,59,93,2017-02-15,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02,583.2700000000001
60,1839,Faythe,Rance,Female,60.0,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,36.0,734 South Court,4152.0,QLD,Australia,8.0,61,0,2017-02-24,0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02,4.8
61,1824,Robbie,Yakubovics,Female,12.0,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0,63.0,2364 Dovetail Way,3048.0,VIC,Australia,6.0,62,33,2017-12-18,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
65,3315,Ninnette,Pandey,Female,77.0,Account Executive,Property,Mass Customer,N,Yes,5.0,28.0,6 North Court,3862.0,VIC,Australia,7.0,66,86,2017-02-23,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26,110.56
66,75,Dollie,Sealy,Female,28.0,VP Product Management,Property,Mass Customer,N,No,19.0,45.0,4763 Merchant Avenue,2756.0,New South Wales,Australia,8.0,67,2,2017-07-03,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
68,1612,Wendel,Headland,Male,70.0,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0,36.0,84504 Doe Crossing Road,2441.0,NSW,Australia,4.0,69,38,2017-10-21,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,1702.5499999999997
70,419,Chrissie,Bernardini,Female,34.0,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,42.0,7526 Artisan Parkway,4223.0,QLD,Australia,8.0,71,54,2017-01-03,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.3999999999999
71,3307,Portia,Thirlwall,Female,96.0,Analyst Programmer,Health,High Net Worth,N,No,14.0,44.0,1172 Mesta Center,4740.0,QLD,Australia,2.0,72,77,2017-05-09,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,1660.88
74,1346,Woody,Dowthwaite,Male,9.0,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,53.0,5 Springview Terrace,3620.0,VIC,Australia,4.0,75,58,2017-06-20,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,771.12
76,763,Benita,Cuffley,Female,95.0,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0,35.0,08 Vidon Center,2143.0,NSW,Australia,5.0,77,50,2017-06-02,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,43.97
77,2397,Cassius,Birchenough,Male,33.0,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,38.0,44083 Village Court,2142.0,NSW,Australia,7.0,78,80,2017-11-07,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16,139.2299999999999
78,102,Langsdon,Tranfield,Male,51.0,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,66.0,55850 Butterfield Road,2168.0,New South Wales,Australia,9.0,79,87,2017-09-12,1,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,471.6
80,759,Mitchel,Schimek,Male,89.0,Clinical Specialist,Health,High Net Worth,N,No,13.0,60.0,4 Vahlen Junction,2227.0,NSW,Australia,10.0,81,84,2017-10-07,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003
83,3297,Addy,Moukes,Male,39.0,Product Engineer,Manufacturing,Mass Customer,N,No,13.0,48.0,50 Declaration Junction,3213.0,VIC,Australia,6.0,84,33,2017-11-02,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
85,1861,Charlena,Muzzi,Female,26.0,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0,56.0,7939 Toban Crossing,2770.0,NSW,Australia,7.0,86,1,2017-07-19,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28,448.67999999999995
87,1390,Christyna,Feldberg,Female,74.0,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,23.0,02701 Talmadge Junction,3082.0,VIC,Australia,7.0,88,31,2017-08-06,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20,547.28
88,2682,Annamarie,Bouzan,Female,54.0,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0,35.0,446 Warrior Pass,4740.0,QLD,Australia,5.0,89,0,2017-04-04,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05,4.8
90,1579,Madelaine,Siegertsz,Female,40.0,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0,45.0,82 Hanover Avenue,2101.0,NSW,Australia,10.0,91,17,2017-04-15,1,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05,409.8600000000001
91,2984,Frances,Mishaw,Female,48.0,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0,64.0,0 Hayes Hill,2106.0,NSW,Australia,11.0,92,73,2017-07-25,1,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22,1612.25
92,3470,Catherina,Ricca,Female,56.0,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,55.0,176 Sutteridge Alley,3121.0,VIC,Australia,11.0,93,33,2017-11-28,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04,144.26
93,1,Laraine,Medendorp,Female,93.0,Executive Secretary,Health,Mass Customer,N,Yes,11.0,69.0,060 Morning Avenue,2016.0,New South Wales,Australia,10.0,94,86,2017-12-23,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,110.56
94,757,Kinsley,Klimus,Male,91.0,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,46.0,195 Knutson Place,4019.0,QLD,Australia,8.0,95,45,2017-02-26,0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12,356.5
97,32,Marion,Vanichkin,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,28.0,2951 Petterle Place,2756.0,New South Wales,Australia,9.0,99,95,2017-03-26,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10,41.129999999999995
100,2353,Lyn,Luquet,Male,93.0,Health Coach IV,Health,Affluent Customer,N,Yes,12.0,44.0,22774 Pennsylvania Hill,2262.0,NSW,Australia,6.0,102,4,2017-04-14,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16,451.6500000000001
101,788,Gregg,Townsend,Male,62.0,Social Worker,Health,Mass Customer,N,No,11.0,59.0,00 Mockingbird Junction,2141.0,NSW,Australia,9.0,103,33,2017-11-12,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
102,1468,Adaline,Hayles,Female,37.0,Financial Advisor,Financial Services,Mass Customer,N,No,22.0,45.0,45725 Hagan Pass,2519.0,NSW,Australia,9.0,104,78,2017-09-12,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82
103,821,Gregoor,Aronovitz,Male,41.0,Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0,42.0,59000 American Center,2530.0,NSW,Australia,8.0,105,89,2017-10-26,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09,1305.25
104,2489,Emma,Mates,Female,42.0,Speech Pathologist,Retail,Mass Customer,N,No,15.0,47.0,9 Spaight Place,2102.0,NSW,Australia,9.0,106,70,2017-02-15,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,198.29000000000002
106,947,Hyacinth,Naldrett,Female,43.0,Pharmacist,Health,Mass Customer,N,No,10.0,37.0,9 Clyde Gallagher Plaza,3021.0,VIC,Australia,7.0,108,26,2017-10-11,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,1230.3000000000002
108,1076,Siegfried,Trattles,Male,33.0,Pharmacist,Health,Affluent Customer,N,No,2.0,23.0,44 Ramsey Road,2515.0,NSW,Australia,9.0,110,36,2017-11-04,0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,437.46
109,3320,Anabella,Mealham,Female,16.0,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6.0,29.0,88 Michigan Junction,3109.0,VIC,Australia,10.0,111,0,2017-06-11,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,14.229999999999997
110,779,Maddy,Larrat,Female,1.0,Staff Accountant III,Health,High Net Worth,N,No,7.0,31.0,2570 Wayridge Park,2093.0,NSW,Australia,9.0,112,84,2017-10-09,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003
111,3296,Leontyne,Jackett,Female,78.0,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17.0,48.0,85 Carioca Drive,2154.0,NSW,Australia,11.0,113,98,2017-06-07,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06,143.35999999999999
112,455,Mile,Dionisii,Male,97.0,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5.0,31.0,6 Mariners Cove Center,2233.0,NSW,Australia,10.0,114,75,2017-10-24,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09,1010.02
113,1779,Krishnah,Firmage,Male,55.0,Information Systems Manager,Argiculture,Affluent Customer,N,No,5.0,26.0,6238 Hanover Crossing,3141.0,VIC,Australia,7.0,115,76,2017-05-01,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-10,128.45999999999992
115,806,Carter,Kaesmakers,Male,66.0,Sales Representative,Retail,Mass Customer,N,Yes,7.0,31.0,018 Erie Point,2767.0,NSW,Australia,9.0,117,42,2017-03-24,0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,1993-04-12,199.0999999999999
117,1591,Fonz,Jankin,Male,4.0,Operator,Manufacturing,Mass Customer,N,Yes,14.0,46.0,54 Veith Drive,2073.0,NSW,Australia,12.0,119,64,2017-02-20,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22,872.8900000000001
118,678,Ambur,Symcoxe,Female,57.0,Accounting Assistant II,IT,High Net Worth,N,No,2.0,28.0,96910 Sugar Point,4352.0,QLD,Australia,7.0,120,0,2017-06-16,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,198.29000000000002
119,50,Whitby,Schapero,Male,38.0,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,42.0,957 Veith Junction,2047.0,New South Wales,Australia,10.0,121,25,2017-12-04,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-11,709.34
122,1339,Mariam,Guiel,Female,82.0,Editor,IT,High Net Worth,N,No,14.0,44.0,8766 Onsgard Plaza,3805.0,VIC,Australia,8.0,124,98,2017-03-21,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09,693.76
125,2503,Devlin,Laneham,Male,80.0,Budget/Accounting Analyst I,Health,Affluent Customer,N,Yes,10.0,56.0,62 Doe Crossing Junction,2760.0,NSW,Australia,7.0,127,84,2017-03-16,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2005-05-10,75.48000000000002
126,1057,Laryssa,Durdle,Female,73.0,Registered Nurse,Health,Mass Customer,N,No,5.0,54.0,7 Main Crossing,2065.0,NSW,Australia,12.0,128,25,2017-02-26,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34
127,1397,Dimitri,Durie,Male,29.0,Legal Assistant,Manufacturing,Mass Customer,N,Yes,14.0,44.0,79206 Independence Drive,3061.0,VIC,Australia,5.0,129,50,2017-06-05,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2015-10-18,43.97
128,2134,Crosby,Ruoff,Male,16.0,Nurse,Manufacturing,Affluent Customer,N,No,2.0,23.0,654 Kim Parkway,3175.0,VIC,Australia,3.0,130,44,2017-09-04,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,1660.88
129,2403,Karalee,Tremlett,Female,41.0,Technical Writer,Financial Services,Affluent Customer,N,No,12.0,45.0,544 Northland Place,2190.0,NSW,Australia,10.0,131,96,2017-01-18,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10,129.01
130,1937,Renaud,Gahagan,Male,69.0,Quality Engineer,Health,Mass Customer,N,No,19.0,49.0,698 Old Gate Lane,2619.0,NSW,Australia,3.0,132,12,2017-09-28,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,1069.5500000000002
131,1282,Garald,Pidler,Male,99.0,Programmer Analyst III,Entertainment,Affluent Customer,N,Yes,14.0,42.0,791 Elgar Trail,4340.0,QLD,Australia,5.0,133,93,2017-09-02,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2002-10-10,834.9399999999999
132,2183,Jillie,Fyndon,Female,61.0,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0,51.0,8142 Tomscot Drive,4132.0,QLD,Australia,4.0,134,78,2017-05-09,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1991-07-10,1055.82
133,1788,Anna-diana,Kurten,Female,79.0,Account Representative IV,Financial Services,High Net Worth,N,Yes,10.0,59.0,67 Hooker Place,2380.0,NSW,Australia,5.0,135,84,2017-10-17,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2006-05-22,198.22000000000003
134,1170,Lari,Rotte,Female,62.0,Assistant Professor,IT,Mass Customer,N,Yes,4.0,58.0,378 Prentice Point,4064.0,QLD,Australia,9.0,136,65,2017-04-25,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-04-11,1028.76
135,1940,Gabriellia,Coulter,Female,52.0,Teacher,Manufacturing,High Net Worth,N,Yes,8.0,46.0,1 Vernon Terrace,4226.0,QLD,Australia,6.0,138,29,2017-08-02,0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03,834.9399999999999
138,2728,Imojean,Atyeo,Female,55.0,Physical Therapy Assistant,IT,High Net Worth,N,No,19.0,64.0,512 Forest Run Center,3188.0,VIC,Australia,11.0,141,10,2017-12-22,0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31,1612.25
141,1217,Dulcinea,Janssen,Female,67.0,Structural Engineer,Manufacturing,High Net Worth,N,No,16.0,55.0,387 Pawling Drive,2580.0,NSW,Australia,4.0,144,92,2017-12-20,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21,1630.25
